project_id,hist_exchange_rate(usd)
2041395,1.0
1934635,1.0
1899223,0.6554238833
2357182,1.3167942289
3549814,1.0
1750148,0.6775687683
2726712,1.0
3421955,1.0
2136785,0.658586612
3412656,1.0
3087163,1.0
1502059,1.0
3442801,0.8491126773
2736627,1.0
2948875,1.0
3555232,1.0
1920871,1.0
3488283,1.0
3678106,1.0
3499500,1.0
2135129,8.1258545136
3683988,1.0
892729,1.0
3503539,1.0
1054353,0.5841118058
3420609,1.0
1104990,1.0
2815865,1.0
3398782,1.0
2541180,1.0
2431106,1.0
1273180,1.0
2878532,1.0
118601,1.0
3548907,1.0
1977164,1.0
2446032,1.0
870774,1.0
2497971,1.0
3394112,1.0
3513349,1.0
1178097,1.0
1852790,1.0
869694,1.0
1076618,1.0
965107,1.0
2682244,1.0
71532,1.0
1834685,8.2834109638
1342697,1.0
2396315,1.0
111053,1.0
3462596,0.7572144462
3407193,1.0
1945013,1.0
3298492,1.0
3486834,0.8730574472
3248353,1.0
420040,1.0
3102300,1.4528921445
3197440,1.3209781868
2048403,0.6384385472
51796,1.0
3256349,1.0
3406349,1.0
3665551,1.0
3316733,0.713544221
1848922,1.0
3464164,1.0
1314855,1.0
976180,0.5895522388
916979,1.0
3540885,1.0
3674254,1.0
3450802,1.0
1377122,1.0
3395179,0.7655052575
2960,1.0
3466559,0.9923478261
3087811,1.3433085346
1648820,1.0
1746737,1.0
350883,1.0
1269391,1.0
3691033,1.0
1670780,1.0
2747727,1.0
2561450,1.0
3435457,1.0
602569,1.0
3509846,7.8443255569
3509080,1.0
3039108,1.0
1015258,1.0
1486865,0.8089305938
3657279,0.7678571429
2059330,1.568151388
1481665,7.0001609788
2044372,1.0
40447,1.0
2377980,1.0
1868402,1.0
3219177,1.0
3081186,1.0
3077682,1.0
1944890,0.64201696
2533749,1.0
331668,1.0
80718,1.0
3282112,0.7209424933
1972433,0.6394378966
2217878,0.6706860327
600763,1.0
2788146,20.7210599721
2656464,1.0
312943,1.0
2953190,1.0
3012441,0.8915039672
2614643,1.3135263994
1899054,1.0
2519955,1.0
1492985,0.6436696947
3108951,0.7359608794
2429626,1.0
3685120,1.0
2263199,1.0
3417337,1.0
830318,1.0
1487008,1.0
46598,1.0
2976898,0.8950147677
3364485,1.0
583665,1.0
2971105,1.0
3211718,1.0
2271740,1.0
3344455,0.8354916869
1923839,0.6547312306
463194,1.0
56394,1.0
2697282,1.0
